"","election_year","cod_ibge"
"871",2012,314060
"872",2012,314080
"873",2012,314090
"874",2012,315053
"875",2012,315240
"876",2012,315250
"877",2012,315380
"878",2012,315420
"879",2012,315445
"880",2012,315580
"881",2012,315690
"882",2012,315800
"883",2012,315880
"884",2012,316220
"885",2012,316250
"886",2012,316310
"887",2012,317005
"888",2012,317030
"889",2012,317080
"890",2012,317190
"891",2012,320013
"892",2012,320115
"893",2012,320255
"894",2012,320440
"895",2012,330090
"896",2012,330120
"897",2012,330475
"898",2012,330520
"899",2012,330620
"900",2012,350070
"901",2012,350075
"902",2012,350090
"903",2012,350190
"904",2012,350210
"905",2012,350240
"906",2012,350270
"907",2012,350280
"908",2012,350340
"909",2012,350390
"910",2012,350440
"911",2012,350470
"912",2012,350530
"913",2012,350660
"914",2012,350900
"915",2012,351070
"916",2012,351140
"917",2012,351200
"918",2012,351360
"919",2012,351380
"920",2012,351495
"921",2012,351500
"922",2012,351515
"923",2012,351519
"924",2012,351520
"925",2012,351540
"926",2012,351630
"927",2012,351670
"928",2012,351685
"929",2012,351730
"930",2012,351800
"931",2012,351830
"932",2012,351890
"933",2012,351990
"934",2012,352020
"935",2012,352044
"936",2012,352050
"937",2012,352110
"938",2012,352150
"939",2012,352300
"940",2012,352330
"941",2012,352440
"942",2012,352520
"943",2012,352580
"944",2012,352610
"945",2012,352630
"946",2012,352670
"947",2012,352710
"948",2012,352780
"949",2012,352820
"950",2012,352860
"951",2012,352950
"952",2012,352990
"953",2012,353030
"954",2012,353110
"955",2012,353170
"956",2012,353215
"957",2012,353260
"958",2012,353330
"959",2012,353625
"960",2012,353690
"961",2012,353780
"962",2012,353790
"963",2012,353950
"964",2012,353980
"965",2012,354050
"966",2012,354140
"967",2012,354210
"968",2012,354230
"969",2012,354240
"970",2012,354420
"971",2012,354500
"972",2012,354540
"973",2012,354620
"974",2012,354710
"975",2012,354740
"976",2012,354760
"977",2012,354780
"978",2012,354830
"979",2012,354870
"980",2012,354950
"981",2012,354995
"982",2012,355010
"983",2012,355050
"984",2012,355110
"985",2012,355200
"986",2012,355450
"987",2012,355490
"988",2012,355610
"989",2012,355640
"990",2012,355645
"991",2012,355710
"992",2012,410045
"993",2012,410060
"994",2012,410100
"995",2012,410120
"996",2012,410260
"997",2012,410270
"998",2012,410280
"999",2012,410300
"1000",2012,410305
"1001",2012,410335
"1002",2012,410337
"1003",2012,410347
"1004",2012,410390
"1005",2012,410400
"1006",2012,410405
"1007",2012,410410
"1008",2012,410425
"1009",2012,410442
"1010",2012,410480
"1011",2012,410520
"1012",2012,410610
"1013",2012,410650
"1014",2012,410715
"1015",2012,410753
"1016",2012,410754
"1017",2012,410765
"1018",2012,410800
"1019",2012,410850
"1020",2012,410855
"1021",2012,410865
"1022",2012,410870
"1023",2012,410890
"1024",2012,410980
"1025",2012,410990
"1026",2012,411010
"1027",2012,411120
"1028",2012,411125
"1029",2012,411170
"1030",2012,411295
"1031",2012,411325
"1032",2012,411340
"1033",2012,411400
"1034",2012,411410
"1035",2012,411430
"1036",2012,411460
"1037",2012,411490
"1038",2012,411530
"1039",2012,411535
"1040",2012,411570
"1041",2012,411573
"1042",2012,411605
"1043",2012,411620
"1044",2012,411700
"1045",2012,411725
"1046",2012,411740
"1047",2012,411750
"1048",2012,411780
"1049",2012,411800
"1050",2012,411830
"1051",2012,411910
"1052",2012,411915
"1053",2012,411920
"1054",2012,411940
"1055",2012,411965
"1056",2012,412035
"1057",2012,412050
"1058",2012,412060
"1059",2012,412080
"1060",2012,412090
"1061",2012,412110
"1062",2012,412125
"1063",2012,412160
"1064",2012,412190
"1065",2012,412200
"1066",2012,412210
"1067",2012,412215
"1068",2012,412220
"1069",2012,412265
"1070",2012,412330
"1071",2012,412340
"1072",2012,412385
"1073",2012,412395
"1074",2012,412402
"1075",2012,412420
"1076",2012,412430
"1077",2012,412545
"1078",2012,412550
"1079",2012,412555
"1080",2012,412560
"1081",2012,412570
"1082",2012,412600
"1083",2012,412650
"1084",2012,412665
"1085",2012,412670
"1086",2012,412680
"1087",2012,412700
"1088",2012,412760
"1089",2012,412780
"1090",2012,412785
"1091",2012,412790
"1092",2012,412795
"1093",2012,412796
"1094",2012,412810
"1095",2012,412862
"1096",2012,412865
"1097",2012,412880
"1098",2012,420055
"1099",2012,420070
"1100",2012,420205
"1101",2012,420253
"1102",2012,420510
"1103",2012,420650
"1104",2012,420660
"1105",2012,420757
"1106",2012,420915
"1107",2012,420920
"1108",2012,420945
"1109",2012,421440
"1110",2012,421569
"1111",2012,421680
"1112",2012,421775
"1113",2012,430066
"1114",2012,430200
"1115",2012,430490
"1116",2012,430786
"1117",2012,431055
"1118",2012,431130
"1119",2012,431205
"1120",2012,431217
"1121",2012,431540
"1122",2012,431645
"1123",2012,431673
"1124",2012,432162
"1125",2012,432320
"1126",2012,500080
"1127",2012,500350
"1128",2012,500490
"1129",2012,510040
"1130",2012,510050
"1131",2012,510120
"1132",2012,510285
"1133",2012,510310
"1134",2012,510330
"1135",2012,510350
"1136",2012,510420
"1137",2012,510455
"1138",2012,510520
"1139",2012,510619
"1140",2012,510670
"1141",2012,510735
"1142",2012,510850
"1143",2012,520060
"1144",2012,520260
"1145",2012,520280
"1146",2012,520357
"1147",2012,520396
"1148",2012,520500
"1149",2012,520505
"1150",2012,520530
"1151",2012,520545
"1152",2012,520830
"1153",2012,521015
"1154",2012,521030
"1155",2012,521305
"1156",2012,521523
"1157",2012,521550
"1158",2012,521600
"1159",2012,521645
"1160",2012,521730
"1161",2012,521805
"1162",2012,521910
"1163",2012,521950
"1164",2012,521990
"1165",2012,522026
"1166",2012,522140
"1167",2012,522145
"1168",2012,522157
"1169",2012,522200
"1170",2016,110005
"1171",2016,110007
"1172",2016,110026
"1173",2016,110033
"1174",2016,110140
"1175",2016,110145
"1176",2016,110147
"1177",2016,110150
"1178",2016,120013
"1179",2016,120017
"1180",2016,120040
"1181",2016,130083
"1182",2016,130180
"1183",2016,130250
"1184",2016,130270
"1185",2016,130370
"1186",2016,130380
"1187",2016,130395
"1188",2016,130423
"1189",2016,130430
"1190",2016,140002
"1191",2016,140005
"1192",2016,140010
"1193",2016,140020
"1194",2016,140030
"1195",2016,140040
"1196",2016,150260
"1197",2016,150290
"1198",2016,150340
"1199",2016,150350
"1200",2016,150540
"1201",2016,150611
"1202",2016,150796
"1203",2016,160005
"1204",2016,160010
"1205",2016,160015
"1206",2016,170130
"1207",2016,170210
"1208",2016,170220
"1209",2016,170320
"1210",2016,170382
"1211",2016,170388
"1212",2016,170390
