"","election_year","cod_ibge"
"561",2012,210520
"562",2012,211167
"563",2012,220025
"564",2012,220225
"565",2012,220290
"566",2012,220380
"567",2012,220440
"568",2012,220560
"569",2012,221038
"570",2012,221050
"571",2012,240400
"572",2012,240540
"573",2012,240790
"574",2012,241500
"575",2012,250407
"576",2012,251430
"577",2012,251480
"578",2012,260580
"579",2012,260760
"580",2012,260775
"581",2012,260805
"582",2012,261430
"583",2012,270135
"584",2012,270200
"585",2012,270220
"586",2012,270790
"587",2012,280050
"588",2012,280190
"589",2012,280220
"590",2012,280460
"591",2012,280640
"592",2012,280700
"593",2012,280740
"594",2012,290360
"595",2012,290830
"596",2012,291600
"597",2012,291870
"598",2012,291990
"599",2012,292210
"600",2012,292690
"601",2012,293070
"602",2012,293320
"603",2012,310230
"604",2012,310330
"605",2012,310590
"606",2012,310760
"607",2012,310770
"608",2012,310830
"609",2012,310900
"610",2012,311090
"611",2012,311110
"612",2012,311440
"613",2012,311535
"614",2012,311970
"615",2012,312245
"616",2012,312370
"617",2012,312520
"618",2012,312960
"619",2012,313010
"620",2012,313040
"621",2012,313150
"622",2012,313220
"623",2012,313660
"624",2012,313680
"625",2012,313862
"626",2012,314060
"627",2012,314090
"628",2012,315240
"629",2012,315250
"630",2012,315420
"631",2012,315580
"632",2012,316250
"633",2012,316310
"634",2012,317005
"635",2012,317030
"636",2012,317080
"637",2012,320013
"638",2012,320440
"639",2012,330090
"640",2012,330120
"641",2012,330620
"642",2012,350070
"643",2012,350075
"644",2012,350210
"645",2012,350240
"646",2012,350280
"647",2012,350390
"648",2012,350440
"649",2012,350470
"650",2012,350530
"651",2012,350660
"652",2012,350900
"653",2012,351140
"654",2012,351200
"655",2012,351360
"656",2012,351500
"657",2012,351515
"658",2012,351519
"659",2012,351670
"660",2012,351685
"661",2012,351730
"662",2012,351800
"663",2012,351830
"664",2012,351990
"665",2012,352020
"666",2012,352050
"667",2012,352110
"668",2012,352150
"669",2012,352330
"670",2012,352440
"671",2012,352520
"672",2012,352580
"673",2012,352610
"674",2012,352780
"675",2012,352950
"676",2012,353030
"677",2012,353110
"678",2012,353260
"679",2012,353330
"680",2012,353625
"681",2012,353780
"682",2012,353950
"683",2012,353980
"684",2012,354050
"685",2012,354140
"686",2012,354420
"687",2012,354500
"688",2012,354540
"689",2012,354620
"690",2012,354710
"691",2012,354740
"692",2012,354870
"693",2012,355050
"694",2012,355490
"695",2012,355610
"696",2012,355645
"697",2012,355710
"698",2012,410060
"699",2012,410100
"700",2012,410270
"701",2012,410300
"702",2012,410305
"703",2012,410335
"704",2012,410337
"705",2012,410390
"706",2012,410400
"707",2012,410405
"708",2012,410425
"709",2012,410442
"710",2012,410715
"711",2012,410765
"712",2012,410800
"713",2012,410855
"714",2012,410890
"715",2012,410980
"716",2012,410990
"717",2012,411010
"718",2012,411125
"719",2012,411340
"720",2012,411410
"721",2012,411430
"722",2012,411460
"723",2012,411490
"724",2012,411530
"725",2012,411535
"726",2012,411570
"727",2012,411573
"728",2012,411605
"729",2012,411620
"730",2012,411700
"731",2012,411725
"732",2012,411740
"733",2012,411800
"734",2012,411910
"735",2012,411915
"736",2012,411940
"737",2012,411965
"738",2012,412035
"739",2012,412060
"740",2012,412080
"741",2012,412090
"742",2012,412110
"743",2012,412190
"744",2012,412265
"745",2012,412330
"746",2012,412385
"747",2012,412395
"748",2012,412402
"749",2012,412420
"750",2012,412430
"751",2012,412545
"752",2012,412550
"753",2012,412560
"754",2012,412650
"755",2012,412700
"756",2012,412760
"757",2012,412780
"758",2012,412790
"759",2012,412795
"760",2012,412810
"761",2012,412862
"762",2012,412865
"763",2012,412880
"764",2012,420205
"765",2012,420253
"766",2012,420660
"767",2012,420757
"768",2012,420920
"769",2012,421440
"770",2012,430786
"771",2012,431130
"772",2012,431540
"773",2012,431673
"774",2012,432162
"775",2012,432320
"776",2012,500350
"777",2012,510310
"778",2012,510330
"779",2012,510520
"780",2012,510619
"781",2012,510670
"782",2012,510850
"783",2012,520280
"784",2012,520357
"785",2012,520396
"786",2012,520505
"787",2012,520545
"788",2012,520830
"789",2012,521015
"790",2012,521305
"791",2012,521550
"792",2012,521600
"793",2012,521730
"794",2012,521910
"795",2012,521950
"796",2012,521990
"797",2012,522026
"798",2012,522140
"799",2012,522145
"800",2012,522157
"801",2016,110005
"802",2016,110026
"803",2016,110140
"804",2016,110145
"805",2016,110147
"806",2016,110150
"807",2016,120040
"808",2016,130083
"809",2016,130180
"810",2016,130370
"811",2016,130380
"812",2016,130430
"813",2016,140002
"814",2016,140010
"815",2016,140020
"816",2016,140030
"817",2016,140040
"818",2016,150350
"819",2016,150540
"820",2016,150796
"821",2016,160010
"822",2016,160015
"823",2016,170210
"824",2016,170320
"825",2016,170382
"826",2016,170388
"827",2016,170625
"828",2016,170650
"829",2016,170710
"830",2016,170720
"831",2016,170765
"832",2016,170830
"833",2016,171090
"834",2016,171370
"835",2016,171488
"836",2016,171510
"837",2016,171630
"838",2016,171820
"839",2016,171889
"840",2016,171890
"841",2016,172000
"842",2016,172025
"843",2016,172030
"844",2016,172049
"845",2016,172085
"846",2016,172125
"847",2016,220100
"848",2016,220140
"849",2016,220810
"850",2016,240220
"851",2016,240550
"852",2016,240725
"853",2016,241030
"854",2016,241080
"855",2016,250210
"856",2016,250330
"857",2016,251065
"858",2016,251335
"859",2016,251410
"860",2016,251560
"861",2016,260005
"862",2016,260345
"863",2016,260590
"864",2016,260760
"865",2016,261540
"866",2016,270780
"867",2016,280190
"868",2016,280430
"869",2016,290170
"870",2016,290210
"871",2016,290590
"872",2016,290840
"873",2016,291845
"874",2016,292270
"875",2016,310445
"876",2016,310550
"877",2016,310740
"878",2016,311030
"879",2016,311250
"880",2016,311290
"881",2016,311455
"882",2016,311460
