cod_ibge,funcionarios_2015,funcionarios_estatutarios_2015
2101970,542,412
2102002,2996,1546
2102036,1272,1038
2102077,304,184
2102101,1699,1151
2102150,NA,NA
2102200,1168,978
2102309,1968,491
2102325,3027,1419
2102358,747,425
2102374,485,312
2102408,708,240
2102507,1038,681
2102556,735,394
2102606,1079,660
2102705,895,471
2102754,789,323
2102804,735,650
2102903,1467,852
2103000,7532,2884
2103109,609,355
2103125,738,255
2103158,589,68
2103174,1409,632
2103208,3571,2193
2103257,521,478
2103307,5685,1898
2103406,2170,1247
2103505,2162,1393
2103554,964,834
2103604,2051,677
2103703,1487,1187
2103752,718,525
2103802,1061,574
2103901,683,325
2104008,1045,406
2104057,1562,923
2104073,430,370
2104081,321,291
2104099,793,506
2104107,693,640
2104206,699,486
2104305,597,391
2104404,842,557
2104503,553,262
2104552,869,441
2104602,1153,450
2104628,505,420
2104651,628,345
2104677,1815,813
2104701,327,212
2104800,3639,2931
2104909,574,395
2105005,1474,821
2105104,1540,588
2105153,926,380
2105203,449,325
2105302,8797,7116
2105351,823,436
2105401,3228,1490
2105427,832,577
2105450,593,392
2105476,941,511
2105500,1691,715
2105609,774,655
2105658,567,179
2105708,3253,1459
2105807,507,402
2105906,1040,600
2105922,519,386
2105948,411,357
2105963,522,222
2105989,430,203
2106003,606,229
2106102,608,564
2106201,351,298
2106300,1265,1010
2106326,1385,641
2106359,380,170
2106375,705,158
2106409,1180,562
2106508,1436,901
2106607,2263,1341
2106631,606,132
2106672,324,287
2106706,680,630
2106755,1442,605
2106805,580,350
2106904,1914,1060
2107001,546,248
2107100,892,652
2107209,405,309
2107258,320,237
2107308,311,220
2107357,1107,596
2107407,861,660
2107456,737,471
2107506,2591,1645
2107605,963,535
2107704,630,426
2107803,2221,1514
2107902,642,384
2108009,1138,1096
2108058,1243,482
2108108,830,674
2108207,1859,1305
2108256,1606,723
2108306,1859,732
2108405,800,346
2108454,1198,820
2108504,2063,1270
2108603,2954,1623
2108702,918,865
2108801,1040,510
2108900,1075,953
2109007,1315,879
2109056,401,247
2109106,1432,903
2109205,854,387
2109239,526,229
2109270,1336,443
2109304,814,476
2109403,851,157
2109452,1228,660
2109502,993,647
2109551,433,215
2109601,1790,981
2109700,282,195
2109759,396,276
2109809,1618,980
2109908,4231,1600
2110005,3293,2540
2110039,1378,900
2110104,1266,603
2110203,1180,882
2110237,504,364
2110278,834,390
2110302,967,745
2110401,874,591
2110500,1481,790
2110609,806,396
2110658,390,334
2110708,1461,748
2110807,327,195
2110856,540,260
2110906,530,469
2111003,1086,271
2111029,584,327
2111052,756,518
2111078,1622,543
2111102,1230,740
2111201,3504,1957
2111250,319,180
2111300,23700,12948
2111409,1097,848
2111508,2416,1214
2111532,665,435
2111573,320,0
2111607,887,695
2111631,452,358
2111672,378,338
2111706,1102,370
2111722,527,440
2111748,1104,223
2111763,1062,867
2111789,703,510
2111805,981,757
2111904,499,414
2111953,285,164
2112001,937,605
2112100,1007,850
2112209,5105,2108
2112233,968,497
2112274,703,214
2112308,2835,835
2112407,2601,2339
2112456,1701,370
2112506,3124,813
2112605,1279,835
2112704,2364,1715
2112803,1931,975
2112852,566,379
2112902,1458,1148
2113009,1750,950
2114007,2469,1470
2200053,250,232
2200103,268,123
2200202,610,206
2200251,241,0
2200277,299,145
2200301,490,317
2200400,1459,977
2200459,428,246
2200509,636,430
2200608,281,156
2200707,388,0
2200806,192,151
2200905,295,185
2200954,157,100
2201002,220,195
2201051,416,309
2201101,455,389
2201150,686,269
2201176,217,0
2201200,2145,1449
2201309,278,114
2201408,369,200
2201507,929,802
2201556,204,0
2201572,212,149
2201606,483,352
2201705,298,209
2201739,312,253
2201770,378,318
2201804,353,290
2201903,980,474
2201919,351,251
2201929,193,0
2201945,324,232
2201960,289,225
2201988,263,194
2202000,797,368
2202026,307,183
2202059,437,235
2202075,255,141
2202083,396,263
2202091,254,156
2202109,248,205
2202117,242,0
2202133,286,244
2202174,484,216
2202208,1897,958
2202251,254,144
2202307,853,629
2202406,561,307
2202455,182,0
2202505,557,0
2202539,270,239
2202554,292,189
2202604,683,604
2202653,322,258
2202703,948,812
2202711,290,216
2202729,331,289
2202737,245,140
2202752,320,211
2202778,323,270
2202802,230,145
2202851,222,0
2202901,946,629
2203008,314,260
2203107,467,336
2203206,576,457
2203230,298,0
2203255,237,177
2203271,310,160
2203305,431,253
2203354,327,0
2203404,315,190
2203420,328,136
2203453,413,217
2203503,599,0
2203602,307,186
2203701,1477,1106
2203750,270,0
2203800,293,221
2203859,169,142
2203909,2594,1477
2204006,255,0
2204105,235,0
2204154,159,132
2204204,314,229
2204303,351,284
2204352,204,164
2204402,602,425
2204501,469,317
2204550,330,0
2204600,209,151
2204659,390,315
2204709,469,407
2204808,295,254
2204907,357,207
2205003,431,270
2205102,587,329
2205151,418,325
2205201,597,395
2205250,281,164
2205276,219,190
2205300,316,202
2205359,238,113
2205409,592,289
2205458,328,150
2205508,1849,769
2205516,310,213
2205524,338,256
2205532,259,152
2205540,177,73
2205557,342,292
2205565,246,181
2205573,404,341
2205581,296,148
2205599,276,185
2205607,350,190
2205706,1203,681
2205805,1160,0
2205854,385,0
2205904,317,161
2205953,387,209
2206001,276,176
2206050,316,254
2206100,516,0
2206209,1130,0
2206308,139,0
2206357,290,211
2206407,419,247
2206506,228,171
2206605,602,433
2206654,248,175
2206670,386,270
2206696,486,348
2206704,387,272
2206720,495,304
2206753,558,217
2206803,734,171
2206902,461,199
2206951,247,163
2207009,899,729
2207108,165,0
2207207,273,134
2207306,336,229
2207355,197,122
2207405,270,70
2207504,499,435
2207553,256,145
2207603,471,357
2207702,4283,2517
2207751,272,152
2207777,257,201
2207793,164,0
2207801,646,337
2207850,219,0
2207900,1633,1024
2207934,153,100
2207959,227,184
2208007,3718,1520
2208106,488,335
2208205,772,0
2208304,818,635
2208403,2748,1830
2208502,643,433
2208551,187,111
2208601,197,109
2208650,350,216
2208700,419,331
2208809,868,426
2208858,222,197
2208874,250,176
2208908,534,231
2209005,376,201
2209104,295,280
2209153,263,181
2209203,461,275
2209302,280,0
2209351,251,176
2209377,202,126
2209401,387,120
2209450,159,55
2209500,229,162
2209559,206,0
2209609,274,131
2209658,268,213
2209708,374,243
2209757,150,0
2209807,269,150
2209856,289,182
2209872,341,263
2209906,300,205
2209955,267,173
2209971,370,256
2210003,975,362
2210052,350,248
2210102,232,171
2210201,281,272
2210300,315,225
2210359,256,0
2210375,219,189
2210383,177,146
2210391,187,109
2210409,742,567
2210508,644,461
2210607,1071,0
2210623,286,195
2210631,252,159
2210656,322,285
2210706,583,484
2210805,556,0
2210904,249,204
2210938,357,165
2210953,220,155
2210979,226,159
2211001,7454,5751
2211100,1459,977
2211209,1205,675
2211308,882,644
2211357,259,134
2211407,160,135
2211506,219,133
2211605,182,109
2211704,215,164
2300101,985,0
2300150,724,418
2300200,2476,1482
2300309,1866,1149
2300408,852,468
2300507,928,508
2300606,489,310
2300705,1113,356
2300754,2136,1391
2300804,433,375
2300903,621,441
2301000,3301,2114
2301109,2217,914
2301208,1561,860
2301257,635,487
2301307,1184,826
2301406,890,663
2301505,806,304
2301604,885,656
2301703,1314,697
2301802,514,357
2301851,924,493
2301901,2379,0
2301950,945,630
2302008,982,747
2302057,906,668
2302107,1267,0
2302206,2165,1188
2302305,1330,935
2302404,1814,1693
2302503,2639,0
2302602,3037,1465
2302701,1711,634
2302800,2889,2046
2302909,1047,695
2303006,713,626
2303105,1224,629
2303204,1613,1221
2303303,748,539
2303402,811,0
2303501,3071,1330
2303600,902,400
2303659,704,420
2303709,9235,4438
2303808,1045,816
2303907,1130,861
2303931,746,505
2303956,990,694
2304004,1187,857
2304103,2507,0
2304202,4478,2571
2304236,905,0
2304251,1274,752
2304269,610,404
2304277,483,336
2304285,3340,1318
2304301,1000,742
2304350,1147,814
2304400,31674,24244
2304459,875,414
2304509,947,613
2304608,619,379
2304657,903,632
2304707,3364,1333
2304806,609,345
2304905,518,0
2304954,1240,733
2305001,2001,1358
2305100,465,353
2305209,1026,972
2305233,2833,2102
2305266,732,566
2305308,919,689
2305332,926,380
2305357,875,586
2305407,2633,1912
2305506,3952,2694
2305605,1096,1011
2305654,635,368
2305704,604,0
2305803,2024,1604
2305902,1800,1384
2306009,718,521
2306108,1121,823
2306207,394,283
2306256,1563,615
2306306,1795,1180
2306405,5664,3275
2306504,973,469
2306553,1999,1457
2306603,1345,715
2306702,904,775
2306801,572,453
2306900,1227,1007
2307007,2124,1604
2307106,1361,859
2307205,998,0
2307254,999,726
2307304,7972,4747
2307403,832,503
2307502,1307,1087
2307601,1212,864
2307635,897,827
2307650,9421,4999
2307700,3890,1585
2307809,1491,905
2307908,994,491
2308005,1683,611
2308104,2445,1296
2308203,782,425
2308302,1094,800
2308351,626,391
2308377,1008,614
2308401,1389,0
2308500,1772,978
2308609,1173,732
2308708,2200,1922
2308807,620,440
2308906,1205,554
2309003,902,484
2309102,600,478
2309201,991,452
2309300,1507,1114
2309409,1097,694
2309458,1173,712
2309508,882,660
2309607,2375,1413
2309706,2629,1821
2309805,748,411
2309904,531,351
2310001,554,383
2310100,653,363
2310209,1781,1364
2310258,1351,967
2310308,2343,606
2310407,723,578
2310506,2186,1276
2310605,716,586
2310704,1794,1021
2310803,1008,746
2310852,906,323
2310902,728,396
2310951,653,304
2311009,687,642
2311108,954,0
2311207,687,487
2311231,582,284
2311264,1180,899
2311306,3112,1772
2311355,854,683
2311405,4002,1489
2311504,810,508
2311603,1309,915
2311702,988,840
2311801,2650,1122
2311900,950,491
2311959,1940,660
2312007,1550,1223
2312106,1011,821
2312205,1872,1318
2312304,1697,1259
2312403,4073,1886
2312502,394,0
2312601,678,314
2312700,924,706
2312809,436,307
2312908,6794,1849
2313005,1014,745
2313104,840,583
2313203,1360,1032
2313252,584,327
2313302,3350,1335
2313351,1414,1078
2313401,2514,0
2313500,1961,1499
2313559,1045,440
2313609,1207,0
2313708,489,319
2313757,693,586
2313807,1407,703
2313906,912,761
2313955,1210,840
2314003,1864,0
2314102,2542,1901
2400109,530,411
2400208,1694,1114
2400307,512,400
2400406,165,30
2400505,448,330
2400604,161,129
2400703,835,493
2400802,475,316
2400901,318,222
2401008,1081,943
2401107,1554,1183
2401206,961,650
2401305,322,119
2401404,395,306
2401453,1093,686
2401503,334,197
2401602,371,278
2401651,307,212
2401701,294,225
2401800,571,271
2401859,378,157
2401909,283,171
2402006,2526,1928
2402105,596,408
2402204,1718,848
2402303,1058,275
2402402,350,238
2402501,628,363
2402600,2921,1532
2402709,565,380
2402808,411,237
2402907,361,225
2403004,404,358
2403103,1615,1230
2403202,372,278
2403251,5862,3503
2403301,313,198
2403400,258,211
2403509,473,206
2403608,1158,823
2403707,468,304
2403756,303,165
2403806,515,398
2403905,219,119
2404002,296,142
2404101,181,121
2404200,1717,989
2404309,658,526
2404408,663,217
2404507,3302,808
2404606,668,335
2404705,645,381
2404804,259,193
2404853,419,163
2404903,241,197
2405009,480,340
2405108,463,194
2405207,313,237
2405306,446,243
2405405,285,228
2405504,391,231
2405603,656,428
2405702,513,408
2405801,1817,828
2405900,168,70
2406007,318,182
2406106,788,680
2406155,177,152
2406205,434,253
2406304,470,180
2406403,366,185
2406502,765,599
2406601,439,211
2406700,564,397
2406809,326,249
2406908,293,120
2407005,358,310
2407104,2312,1142
2407203,1235,1012
2407252,225,91
2407302,401,222
2407401,432,232
2407500,797,246
2407609,310,170
2407708,545,351
2407807,1140,487
2407906,246,156
2408003,6068,4866
2408102,16656,12401
2408201,1149,285
2408300,1529,849
2408409,271,121
2408508,259,217
2408607,273,164
2408706,299,225
2408805,431,131
2408904,848,609
2408953,737,323
2409100,637,392
2409209,346,150
2409308,614,302
2409332,358,179
2409407,1195,658
2409506,307,220
2409605,263,144
2409704,447,293
2409803,809,445
2409902,787,470
2410009,251,214
2410108,577,393
2410207,354,299
2410256,379,286
2410306,537,316
2410405,430,325
2410504,203,134
2410603,300,150
2410702,249,155
2410801,252,140
2410900,370,312
2411007,330,192
2411056,222,164
2411106,342,215
2411205,1152,736
2411403,657,485
2411429,221,169
2411502,1158,512
2411601,341,131
2411700,361,277
2411809,242,189
2411908,231,191
2412005,2926,2110
2412104,307,205
2412203,1264,919
2412302,811,430
2412401,296,179
2412500,682,605
2412559,559,299
2412609,477,281
2412708,341,196
2412807,378,224
2412906,657,409
2413003,329,277
2413102,411,284
2413201,338,234
2413300,286,140
2413359,519,412
2413409,291,227
2413508,473,185
2413557,250,202
2413607,444,220
2413706,349,246
2413805,278,132
2413904,621,372
2414001,631,405
2414100,428,183
2414159,427,336
2414209,700,411
2414308,272,136
2414407,894,873
2414456,388,235
2414506,633,327
2414605,564,464
2414704,259,157
2414753,286,190
2414803,546,345
2414902,212,128
