cod_ibge,enrolment_pvt_ef1_2012,enrolment_pvt_2012,enrolment_mun_ef1_2012,enrolment_total_ef1_2012,ratio_enrolment_pvt_mun_2012,share_enrolment_pvt_2012,share_enrolment_mun_2012
500625,7.0,24.0,707.0,783.0,0.009900990099009901,0.008939974457215836,0.9029374201787995
500630,691.0,1388.0,2318.0,6046.0,0.2981018119068162,0.11429043996030433,0.3833939794905723
500635,0.0,32.0,2954.0,3709.0,0.0,0.0,0.7964410892423834
500640,33.0,37.0,673.0,1269.0,0.04903417533432392,0.026004728132387706,0.5303388494877856
500660,1843.0,3749.0,7574.0,18534.0,0.24333245312912596,0.09943886910542786,0.40865436495090107
500690,73.0,103.0,2572.0,2935.0,0.028382581648522552,0.024872231686541738,0.8763202725724021
500710,146.0,245.0,2607.0,3931.0,0.05600306866129651,0.03714067667260239,0.6631900279827017
500720,238.0,363.0,3959.0,5787.0,0.06011619095731245,0.04112666321064455,0.6841195783653016
500730,8.0,10.0,219.0,864.0,0.0365296803652968,0.009259259259259259,0.2534722222222222
500740,194.0,561.0,1233.0,2970.0,0.1573398215733982,0.06531986531986532,0.41515151515151516
500750,0.0,0.0,537.0,847.0,0.0,0.0,0.6340023612750886
500755,22.0,22.0,890.0,1142.0,0.024719101123595506,0.01926444833625219,0.7793345008756567
500769,407.0,980.0,2111.0,3728.0,0.19279962103268594,0.10917381974248927,0.566255364806867
500770,51.0,65.0,561.0,2017.0,0.09090909090909091,0.02528507684680218,0.278135845314824
500780,0.0,0.0,692.0,1116.0,0.0,0.0,0.6200716845878136
500790,418.0,652.0,5635.0,7187.0,0.07417923691215617,0.058160567691665506,0.7840545429247252
500793,118.0,202.0,1955.0,2480.0,0.06035805626598466,0.04758064516129032,0.7883064516129032
500795,0.0,0.0,1559.0,2205.0,0.0,0.0,0.7070294784580499
500797,20.0,25.0,399.0,630.0,0.05012531328320802,0.031746031746031744,0.6333333333333333
500800,0.0,21.0,1799.0,2883.0,0.0,0.0,0.6240027748872702
500830,2287.0,5679.0,7808.0,16803.0,0.2929047131147541,0.13610664762244837,0.46467892638219366
500840,0.0,0.0,213.0,936.0,0.0,0.0,0.22756410256410256
510010,0.0,0.0,237.0,995.0,0.0,0.0,0.23819095477386934
510020,480.0,1035.0,1980.0,3337.0,0.24242424242424243,0.1438417740485466,0.5933473179502547
510025,744.0,1330.0,2396.0,8149.0,0.3105175292153589,0.09129954595655909,0.2940238066020371
510030,168.0,261.0,1014.0,2553.0,0.16568047337278108,0.06580493537015276,0.3971797884841363
510035,0.0,0.0,522.0,831.0,0.0,0.0,0.628158844765343
510040,0.0,0.0,468.0,1492.0,0.0,0.0,0.3136729222520107
510050,0.0,0.0,457.0,1330.0,0.0,0.0,0.343609022556391
510060,84.0,119.0,850.0,1471.0,0.0988235294117647,0.05710401087695445,0.5778382053025153
510080,0.0,12.0,822.0,1375.0,0.0,0.0,0.5978181818181818
510100,0.0,0.0,278.0,481.0,0.0,0.0,0.577962577962578
510120,0.0,0.0,104.0,146.0,0.0,0.0,0.7123287671232876
510125,109.0,250.0,958.0,2367.0,0.11377870563674322,0.04604985213350232,0.40473172792564427
510130,72.0,141.0,410.0,1355.0,0.17560975609756097,0.053136531365313655,0.3025830258302583
510140,185.0,323.0,2444.0,3831.0,0.07569558101472995,0.04829026363873662,0.6379535369355259
510160,0.0,0.0,189.0,1059.0,0.0,0.0,0.17847025495750707
510170,248.0,391.0,1666.0,5101.0,0.148859543817527,0.04861791805528328,0.3266026269358949
510180,1335.0,2261.0,3742.0,8802.0,0.3567610903260289,0.15167007498295842,0.42513065212451717
510185,0.0,0.0,640.0,1312.0,0.0,0.0,0.4878048780487805
510190,0.0,3.0,2111.0,2504.0,0.0,0.0,0.8430511182108626
510250,1564.0,2725.0,6264.0,14587.0,0.24968071519795657,0.10721875642695551,0.4294234592445328
510260,0.0,0.0,2609.0,3421.0,0.0,0.0,0.7626425021923414
510263,154.0,389.0,3477.0,4835.0,0.04429105550762151,0.03185108583247156,0.7191313340227508
