cod_ibge,enrolment_pvt_ef1_2008,enrolment_pvt_2008,enrolment_mun_ef1_2008,enrolment_total_ef1_2008,ratio_enrolment_pvt_mun_2008,share_enrolment_pvt_2008,share_enrolment_mun_2008
500280,0.0,0.0,825.0,1184.0,0.0,0.0,0.6967905405405406
500290,424.0,716.0,1779.0,3369.0,0.23833614390106803,0.12585336895221133,0.5280498664292075
500295,371.0,656.0,2221.0,3127.0,0.1670418730301666,0.11864406779661017,0.7102654301247202
500310,0.0,0.0,542.0,869.0,0.0,0.0,0.6237054085155351
500315,70.0,110.0,2568.0,3984.0,0.027258566978193146,0.017570281124497992,0.6445783132530121
500320,2484.0,4234.0,11994.0,21708.0,0.20710355177588793,0.11442786069651742,0.5525152017689331
500325,191.0,255.0,1887.0,3145.0,0.10121886592474828,0.060731319554848964,0.6
500330,365.0,639.0,1539.0,5852.0,0.23716699155295645,0.06237183868762816,0.262987012987013
500345,32.0,37.0,226.0,1989.0,0.1415929203539823,0.01608848667672197,0.11362493715434892
500348,0.0,0.0,1499.0,2129.0,0.0,0.0,0.7040864255519023
500350,0.0,0.0,511.0,1130.0,0.0,0.0,0.452212389380531
500370,3672.0,8441.0,18562.0,33007.0,0.19782351039758647,0.11124912897264216,0.5623655588208561
500375,114.0,165.0,1126.0,2357.0,0.10124333925399645,0.048366567670767927,0.477725922783199
500380,325.0,572.0,629.0,2859.0,0.5166931637519873,0.1136761105281567,0.22000699545295557
500390,0.0,0.0,166.0,478.0,0.0,0.0,0.3472803347280335
500400,112.0,155.0,590.0,1498.0,0.18983050847457628,0.07476635514018691,0.3938584779706275
500410,51.0,99.0,1145.0,1977.0,0.0445414847161572,0.025796661608497723,0.5791603439554881
500430,127.0,228.0,1230.0,3032.0,0.10325203252032521,0.041886543535620054,0.40567282321899734
500440,18.0,18.0,485.0,1280.0,0.03711340206185567,0.0140625,0.37890625
500450,136.0,239.0,701.0,2478.0,0.19400855920114124,0.05488297013720742,0.2828894269572236
500460,70.0,251.0,2349.0,3974.0,0.02979991485738612,0.017614494212380472,0.5910920986411676
500470,194.0,328.0,806.0,3319.0,0.24069478908188585,0.05845134076529075,0.2428442301898162
500480,0.0,0.0,1529.0,1897.0,0.0,0.0,0.8060094886663153
500490,0.0,0.0,528.0,987.0,0.0,0.0,0.5349544072948328
500500,506.0,751.0,3323.0,4919.0,0.15227204333433644,0.10286643626753406,0.6755438097174222
500510,0.0,0.0,194.0,684.0,0.0,0.0,0.28362573099415206
500515,0.0,0.0,844.0,1267.0,0.0,0.0,0.6661404893449092
500520,340.0,492.0,2472.0,4014.0,0.13754045307443366,0.08470353761833582,0.6158445440956651
500525,0.0,0.0,1092.0,1190.0,0.0,0.0,0.9176470588235294
500540,564.0,1216.0,3446.0,6350.0,0.1636680208937899,0.08881889763779527,0.5426771653543307
500560,753.0,1444.0,3578.0,5356.0,0.21045276690888765,0.1405899925317401,0.6680358476474981
500568,309.0,472.0,939.0,3012.0,0.329073482428115,0.10258964143426295,0.31175298804780877
500570,476.0,718.0,4329.0,7757.0,0.10995610995610995,0.06136392935413175,0.5580765759958747
500580,0.0,0.0,2327.0,3294.0,0.0,0.0,0.7064359441408622
500600,0.0,0.0,1786.0,2795.0,0.0,0.0,0.6389982110912343
500620,575.0,1306.0,4791.0,8257.0,0.12001669797537048,0.06963788300835655,0.5802349521618021
500625,7.0,22.0,820.0,963.0,0.00853658536585366,0.007268951194184839,0.8515057113187954
500630,828.0,1478.0,2691.0,6562.0,0.3076923076923077,0.12618104236513258,0.4100883876866809
500635,0.0,0.0,2401.0,3321.0,0.0,0.0,0.722975007527853
500640,36.0,40.0,741.0,1529.0,0.048582995951417005,0.02354480052321779,0.48463047743623283
500660,1707.0,3406.0,8359.0,17800.0,0.20421103002751526,0.09589887640449438,0.4696067415730337
500690,37.0,55.0,2919.0,3253.0,0.012675573826652964,0.011374116200430372,0.8973255456501691
500710,99.0,122.0,2543.0,3887.0,0.03893039716869839,0.025469513763828146,0.6542320555698482
500720,275.0,431.0,3928.0,5556.0,0.070010183299389,0.04949604031677466,0.706983441324694
500730,26.0,33.0,310.0,1005.0,0.08387096774193549,0.025870646766169153,0.30845771144278605
500740,346.0,795.0,1108.0,3171.0,0.31227436823104693,0.10911384421318196,0.3494165878271839
500750,0.0,0.0,578.0,909.0,0.0,0.0,0.6358635863586358
500755,0.0,23.0,1058.0,1424.0,0.0,0.0,0.7429775280898876
